time,station,part_id,activity
2025-07-25T10:43:05.220051,S3,P8,PROCESS
2025-07-25T10:43:06.109127,S2,P6,UNLOAD
2025-07-25T10:43:06.970473,S5,P3,UNLOAD
2025-07-25T10:43:07.665664,S1,P10,UNLOAD
2025-07-25T10:43:07.957493,S2,P6,TRANSFER
2025-07-25T10:43:08.637690,S5,P3,BLOCK
2025-07-25T10:43:10.280062,S1,P10,TRANSFER
2025-07-25T10:43:10.698470,S1,P11,LOAD
2025-07-25T10:43:11.077588,S5,P3,TRANSFER
2025-07-25T10:43:11.245455,S5,P4,LOAD
2025-07-25T10:43:12.941855,S3,P8,UNLOAD
2025-07-25T10:43:14.533423,S5,P4,PROCESS
2025-07-25T10:43:14.882983,S1,P11,PROCESS
2025-07-25T10:43:15.106903,S2,P10,LOAD
2025-07-25T10:43:15.691829,S3,P8,TRANSFER
2025-07-25T10:43:18.502013,S2,P10,PROCESS
2025-07-25T10:43:22.525067,S3,P6,LOAD
2025-07-25T10:43:23.212048,S2,P10,UNLOAD
2025-07-25T10:43:25.050205,S2,P10,TRANSFER
2025-07-25T10:43:26.498392,S3,P6,PROCESS
2025-07-25T10:43:26.747599,S5,P4,UNLOAD
2025-07-25T10:43:26.857171,S1,P11,UNLOAD
2025-07-25T10:43:28.458355,S5,P4,BLOCK
2025-07-25T10:43:29.454293,S1,P11,TRANSFER
2025-07-25T10:43:29.896496,S1,P12,LOAD
2025-07-25T10:43:30.245033,S5,P4,TRANSFER
2025-07-25T10:43:30.417589,S5,P5,LOAD
2025-07-25T10:43:33.548415,S3,P6,UNLOAD
2025-07-25T10:43:33.765768,S5,P5,PROCESS
2025-07-25T10:43:34.076641,S1,P12,PROCESS
2025-07-25T10:43:34.208313,S2,P11,LOAD
2025-07-25T10:43:36.311334,S3,P6,TRANSFER
2025-07-25T10:43:37.611987,S2,P11,PROCESS
2025-07-25T10:43:39.378394,S3,P10,LOAD
2025-07-25T10:43:43.338572,S2,P11,UNLOAD
2025-07-25T10:43:43.365092,S3,P10,PROCESS
2025-07-25T10:43:44.355873,S5,P5,UNLOAD
2025-07-25T10:43:45.199576,S2,P11,TRANSFER
2025-07-25T10:43:45.740148,S1,P12,UNLOAD
2025-07-25T10:43:45.970926,S5,P5,BLOCK
2025-07-25T10:43:48.329270,S1,P12,TRANSFER
2025-07-25T10:43:48.747619,S1,P1,LOAD
2025-07-25T10:43:49.043077,S5,P5,TRANSFER
2025-07-25T10:43:49.252552,S5,P9,LOAD
2025-07-25T10:43:51.451048,S3,P10,UNLOAD
2025-07-25T10:43:52.491116,S5,P9,PROCESS
2025-07-25T10:43:52.914780,S1,P1,PROCESS
2025-07-25T10:43:53.060811,S2,P12,LOAD
2025-07-25T10:43:54.157943,S3,P10,TRANSFER
2025-07-25T10:43:56.411779,S2,P12,PROCESS
2025-07-25T10:43:59.714401,S3,P11,LOAD
2025-07-25T10:44:00.972464,S2,P12,UNLOAD
2025-07-25T10:44:02.914083,S2,P12,TRANSFER
2025-07-25T10:44:03.693768,S3,P11,PROCESS
2025-07-25T10:44:03.960760,S5,P9,UNLOAD
2025-07-25T10:44:04.070358,S1,P1,UNLOAD
2025-07-25T10:44:05.690899,S5,P9,BLOCK
2025-07-25T10:44:06.774780,S1,P1,TRANSFER
2025-07-25T10:44:07.140668,S1,P2,LOAD
2025-07-25T10:44:07.517739,S5,P9,TRANSFER
2025-07-25T10:44:07.686741,S5,P7,LOAD
2025-07-25T10:44:10.337401,S3,P11,UNLOAD
2025-07-25T10:44:10.914926,S5,P7,PROCESS
2025-07-25T10:44:11.251564,S1,P2,PROCESS
2025-07-25T10:44:11.473927,S2,P1,LOAD
2025-07-25T10:44:13.112990,S3,P11,TRANSFER
2025-07-25T10:44:14.861969,S2,P1,PROCESS
2025-07-25T10:44:17.292224,S4,P12,LOAD
2025-07-25T10:44:20.573731,S4,P12,PROCESS
2025-07-25T10:44:21.046614,S2,P1,UNLOAD
2025-07-25T10:44:22.505332,S1,P2,UNLOAD
2025-07-25T10:44:22.868589,S2,P1,TRANSFER
2025-07-25T10:44:23.128301,S5,P7,UNLOAD
2025-07-25T10:44:24.857633,S5,P7,BLOCK
2025-07-25T10:44:25.165521,S1,P2,TRANSFER
2025-07-25T10:44:25.580670,S1,P3,LOAD
2025-07-25T10:44:25.996992,S5,P7,TRANSFER
2025-07-25T10:44:26.172758,S5,P8,LOAD
2025-07-25T10:44:29.451757,S5,P8,PROCESS
2025-07-25T10:44:29.730244,S1,P3,PROCESS
2025-07-25T10:44:29.903075,S2,P2,LOAD
2025-07-25T10:44:32.041432,S4,P12,UNLOAD
2025-07-25T10:44:33.293946,S2,P2,PROCESS
2025-07-25T10:44:33.933710,S4,P12,TRANSFER
2025-07-25T10:44:37.569376,S4,P1,LOAD
2025-07-25T10:44:38.969122,S2,P2,UNLOAD
2025-07-25T10:44:40.729259,S2,P2,TRANSFER
2025-07-25T10:44:40.906042,S4,P1,PROCESS
2025-07-25T10:44:42.328877,S5,P8,UNLOAD
2025-07-25T10:44:42.819218,S1,P3,UNLOAD
2025-07-25T10:44:44.038714,S5,P8,BLOCK
2025-07-25T10:44:45.368147,S1,P3,TRANSFER
2025-07-25T10:44:45.787203,S1,P4,LOAD
2025-07-25T10:44:46.146355,S5,P8,TRANSFER
2025-07-25T10:44:46.320578,S5,P6,LOAD
2025-07-25T10:44:49.603839,S5,P6,PROCESS
2025-07-25T10:44:49.986712,S1,P4,PROCESS
2025-07-25T10:44:50.116107,S2,P3,LOAD
2025-07-25T10:44:53.135945,S4,P1,UNLOAD
2025-07-25T10:44:53.462696,S2,P3,PROCESS
2025-07-25T10:44:54.711761,S3,P2,LOAD
2025-07-25T10:44:54.978454,S4,P1,TRANSFER
2025-07-25T10:44:58.075960,S2,P3,UNLOAD
2025-07-25T10:44:58.693353,S3,P2,PROCESS
2025-07-25T10:44:59.918537,S2,P3,TRANSFER
2025-07-25T10:45:01.962775,S1,P4,UNLOAD
2025-07-25T10:45:02.681481,S5,P6,UNLOAD
2025-07-25T10:45:04.396282,S5,P6,BLOCK
2025-07-25T10:45:04.576307,S1,P4,TRANSFER
2025-07-25T10:45:05.019437,S1,P5,LOAD
2025-07-25T10:45:05.361826,S5,P6,TRANSFER
2025-07-25T10:45:05.485099,S3,P2,UNLOAD
2025-07-25T10:45:05.544921,S5,P10,LOAD
2025-07-25T10:45:08.298129,S3,P2,TRANSFER
2025-07-25T10:45:08.844542,S5,P10,PROCESS
2025-07-25T10:45:09.239604,S1,P5,PROCESS
2025-07-25T10:45:09.557262,S2,P4,LOAD
2025-07-25T10:45:12.953935,S2,P4,PROCESS
2025-07-25T10:45:15.072044,S4,P3,LOAD
2025-07-25T10:45:17.154242,S2,P4,UNLOAD
2025-07-25T10:45:18.368793,S4,P3,PROCESS
2025-07-25T10:45:18.996948,S2,P4,TRANSFER
2025-07-25T10:45:20.587124,S1,P5,UNLOAD
2025-07-25T10:45:21.411550,S5,P10,UNLOAD
2025-07-25T10:45:23.048888,S5,P10,BLOCK
2025-07-25T10:45:23.181124,S1,P5,TRANSFER
2025-07-25T10:45:23.611593,S1,P9,LOAD
2025-07-25T10:45:23.967621,S5,P10,TRANSFER
2025-07-25T10:45:24.166682,S5,P11,LOAD
2025-07-25T10:45:27.447158,S5,P11,PROCESS
2025-07-25T10:45:27.866187,S1,P9,PROCESS
2025-07-25T10:45:27.957125,S2,P5,LOAD
2025-07-25T10:45:30.184951,S4,P3,UNLOAD
