time,station,part,activity
2025-07-01T17:57:20.334211,S5,P5,UNLOAD
2025-07-01T17:57:20.520787,S1,P12,UNLOAD
2025-07-01T17:57:20.702490,S4,P9,PROCESS
2025-07-01T17:57:22.187736,S5,P5,TRANSFER
2025-07-01T17:57:23.067278,S1,P12,TRANSFER
2025-07-01T17:57:23.496735,S1,P6,LOAD
2025-07-01T17:57:27.691256,S1,P6,PROCESS
2025-07-01T17:57:27.727514,S2,P12,LOAD
2025-07-01T17:57:30.913066,S2,P12,PROCESS
2025-07-01T17:57:33.276345,S4,P9,UNLOAD
2025-07-01T17:57:34.992552,S3,P11,LOAD
2025-07-01T17:57:35.124778,S4,P9,TRANSFER
2025-07-01T17:57:36.246991,S2,P12,UNLOAD
2025-07-01T17:57:38.129165,S2,P12,TRANSFER
2025-07-01T17:57:38.928111,S3,P11,PROCESS
2025-07-01T17:57:39.127162,S5,P9,LOAD
2025-07-01T17:57:39.462127,S1,P6,UNLOAD
2025-07-01T17:57:42.037751,S1,P6,TRANSFER
2025-07-01T17:57:42.253450,S5,P9,PROCESS
2025-07-01T17:57:42.454781,S1,P5,LOAD
2025-07-01T17:57:45.874533,S3,P11,UNLOAD
2025-07-01T17:57:46.601975,S1,P5,PROCESS
2025-07-01T17:57:46.829605,S2,P6,LOAD
2025-07-01T17:57:48.620739,S3,P11,TRANSFER
2025-07-01T17:57:50.011749,S2,P6,PROCESS
2025-07-01T17:57:52.758537,S3,P12,LOAD
2025-07-01T17:57:54.017723,S2,P6,UNLOAD
2025-07-01T17:57:54.056292,S5,P9,UNLOAD
2025-07-01T17:57:55.823838,S5,P9,TRANSFER
2025-07-01T17:57:55.855424,S2,P6,TRANSFER
2025-07-01T17:57:56.229994,S5,P11,LOAD
2025-07-01T17:57:56.694498,S3,P12,PROCESS
2025-07-01T17:57:58.279613,S1,P5,UNLOAD
2025-07-01T17:57:59.483719,S5,P11,PROCESS
2025-07-01T17:58:00.863147,S1,P5,TRANSFER
2025-07-01T17:58:01.521332,S1,P9,LOAD
2025-07-01T17:58:03.433462,S3,P12,UNLOAD
2025-07-01T17:58:05.299396,S2,P5,LOAD
2025-07-01T17:58:05.636063,S1,P9,PROCESS
2025-07-01T17:58:06.208628,S3,P12,TRANSFER
2025-07-01T17:58:08.505390,S2,P5,PROCESS
2025-07-01T17:58:10.167152,S3,P6,LOAD
2025-07-01T17:58:11.652403,S5,P11,UNLOAD
2025-07-01T17:58:13.435029,S5,P11,TRANSFER
2025-07-01T17:58:13.617383,S2,P5,UNLOAD
2025-07-01T17:58:13.874914,S5,P12,LOAD
2025-07-01T17:58:14.166324,S3,P6,PROCESS
2025-07-01T17:58:15.469134,S2,P5,TRANSFER
2025-07-01T17:58:17.043771,S5,P12,PROCESS
2025-07-01T17:58:18.067858,S1,P9,UNLOAD
2025-07-01T17:58:20.653978,S1,P9,TRANSFER
2025-07-01T17:58:21.066557,S1,P11,LOAD
2025-07-01T17:58:21.933505,S3,P6,UNLOAD
2025-07-01T17:58:24.690457,S3,P6,TRANSFER
2025-07-01T17:58:25.239960,S1,P11,PROCESS
2025-07-01T17:58:25.516964,S2,P9,LOAD
2025-07-01T17:58:28.696387,S2,P9,PROCESS
2025-07-01T17:58:29.279578,S5,P12,UNLOAD
2025-07-01T17:58:29.702188,S3,P5,LOAD
2025-07-01T17:58:31.058579,S5,P12,TRANSFER
