Window Start,Window End,Calibrated Mu,TIC
0,10,4.228378433,0.039109471
10,20,4.394107676,0.033879359
20,30,4.198555531,0.033768672
30,40,4.346852242,0.037006411
40,50,4.326188004,0.03398876
50,60,3.979895163,0.063353706
60,70,4.240538206,0.047987559
70,80,3.690017527,0.041060421
80,90,3.905594689,0.026788636
90,100,4.406269105,0.038411525
100,110,4.344895624,0.030398227
110,120,3.662426249,0.054523603
120,130,4.372165349,0.061107434
130,140,3.640637712,0.042584118
140,150,4.295349525,0.035168464
150,160,3.885967532,0.035022341
160,170,4.485699441,0.024471494
170,180,3.449192874,0.029373476
180,190,3.98346312,0.021558925
190,200,3.76671532,0.03638884
200,210,4.160399366,0.040417868
210,220,3.724963328,0.041450887
220,230,3.617590648,0.061439254
230,240,3.803618745,0.041026203
240,250,3.586765177,0.032814033
250,260,4.283055814,0.049030555
260,270,4.140975513,0.039817692
270,280,4.022812576,0.031153043
280,290,4.434940626,0.026160859
290,300,3.71309168,0.056289302
300,310,3.963586975,0.029298656
310,320,3.673239868,0.041322159
320,330,4.012190884,0.030433552
330,340,4.348343852,0.044395287
340,350,4.090727865,0.04282338
350,360,4.694154674,0.036942307
360,370,4.177825859,0.027759718
370,380,4.331871995,0.040269234
380,390,4.019096998,0.036797686
390,400,4.249191792,0.031152873
400,410,3.836141214,0.042960198
410,420,3.673570206,0.031891939
420,430,4.174992896,0.038684857
430,440,4.150025603,0.03638556
440,450,3.370006782,0.033834872
450,460,3.892916999,0.038537765
460,470,4.168938542,0.031621481
470,480,3.815220975,0.023615459
480,490,3.999307516,0.070309549
490,500,3.694804863,0.053627638
500,510,3.929830978,0.027545564
510,520,3.885895234,0.047000355
520,530,4.049728247,0.031548451
530,540,4.060609546,0.034373847
540,550,3.803212277,0.04126093
550,560,3.818249247,0.035932676
560,570,3.643623787,0.027509223
570,580,3.907797961,0.047491579
580,590,4.272951598,0.030630967
590,600,4.339581592,0.034842282
600,610,3.425381608,0.031409392
610,620,3.67553912,0.026929662
620,630,2.961724697,0.04308024
630,640,3.694542509,0.055268721
640,650,4.19207508,0.037617954
650,660,4.160759075,0.036748868
660,670,4.165048301,0.035683701
670,680,4.224828999,0.034683068
680,690,4.023398968,0.030920577
690,700,3.882938855,0.028382454
700,710,3.662865798,0.046592451
710,720,3.941535623,0.038887098
720,730,4.024262574,0.041769305
730,740,3.909229109,0.061091842
740,750,4.380013264,0.034179997
750,760,4.157388591,0.041553534
760,770,4.040357085,0.035756148
770,780,3.612697322,0.052760242
780,790,4.128180531,0.026469918
790,800,4.242871565,0.028095121
800,810,4.629078689,0.027569794
810,820,4.226207069,0.029371969
820,830,3.662993523,0.024563551
830,840,4.08915158,0.031973808
840,850,4.513522103,0.056211736
850,860,3.874515559,0.04627874
860,870,3.853205121,0.027946607
870,880,3.832452808,0.033658561
880,890,3.978733813,0.034707757
890,900,4.473161851,0.031685361
900,910,4.292132885,0.036737385
910,920,4.25605607,0.030519817
920,930,4.067478362,0.041955959
930,940,4.195505609,0.027046758
940,950,3.721271238,0.022213083
950,960,3.063414694,0.039646305
960,970,3.998645642,0.04848001
970,980,3.519509927,0.030619102
980,990,4.261186018,0.033414512
990,1000,4.02662035,0.047119652
