time,station,part,activity
2025-07-21T12:11:46.614605,S1,P1,LOAD
2025-07-21T12:11:50.786808,S1,P1,PROCESS
2025-07-21T12:12:03.055351,S1,P1,UNLOAD
2025-07-21T12:12:05.797328,S1,P1,TRANSFER
2025-07-21T12:12:06.252844,S1,P2,LOAD
2025-07-21T12:12:10.545572,S1,P2,PROCESS
2025-07-21T12:12:10.992854,S2,P1,LOAD
2025-07-21T12:12:14.492078,S2,P1,PROCESS
2025-07-21T12:12:19.715502,S2,P1,UNLOAD
2025-07-21T12:12:21.517363,S2,P1,TRANSFER
2025-07-21T12:12:22.372687,S1,P2,UNLOAD
2025-07-21T12:12:25.096672,S1,P2,TRANSFER
2025-07-21T12:12:25.555757,S1,P3,LOAD
2025-07-21T12:12:29.894170,S1,P3,PROCESS
2025-07-21T12:12:30.315808,S2,P2,LOAD
2025-07-21T12:12:33.697536,S2,P2,PROCESS
2025-07-21T12:12:35.658328,S3,P1,LOAD
2025-07-21T12:12:38.454852,S2,P2,UNLOAD
2025-07-21T12:12:39.686666,S3,P1,PROCESS
2025-07-21T12:12:40.300643,S2,P2,TRANSFER
2025-07-21T12:12:41.585659,S1,P3,UNLOAD
2025-07-21T12:12:44.274949,S1,P3,TRANSFER
2025-07-21T12:12:44.757033,S1,P4,LOAD
2025-07-21T12:12:46.228499,S3,P1,UNLOAD
2025-07-21T12:12:48.981696,S3,P1,TRANSFER
2025-07-21T12:12:49.106152,S1,P4,PROCESS
2025-07-21T12:12:49.644038,S2,P3,LOAD
2025-07-21T12:12:51.681781,S5,P1,LOAD
2025-07-21T12:12:53.032816,S2,P3,PROCESS
2025-07-21T12:12:54.900695,S3,P2,LOAD
2025-07-21T12:12:55.031729,S5,P1,PROCESS
2025-07-21T12:12:58.151476,S2,P3,UNLOAD
2025-07-21T12:12:58.869884,S3,P2,PROCESS
2025-07-21T12:12:59.964444,S2,P3,TRANSFER
2025-07-21T12:13:02.310877,S1,P4,UNLOAD
2025-07-21T12:13:04.986813,S1,P4,TRANSFER
2025-07-21T12:13:05.068068,S3,P2,UNLOAD
2025-07-21T12:13:05.452470,S1,P5,LOAD
2025-07-21T12:13:06.949727,S5,P1,UNLOAD
2025-07-21T12:13:07.888583,S3,P2,TRANSFER
2025-07-21T12:13:08.648556,S5,P1,BLOCK
2025-07-21T12:13:09.767453,S1,P5,PROCESS
2025-07-21T12:13:10.528088,S2,P4,LOAD
