Window Start,Window End,Calibrated Mu,TIC
0,100,3.996717582,0.023762201
100,200,3.99583524,0.015302996
200,300,4.000759936,0.019953294
300,400,4.090900596,0.015003327
400,500,4.002603642,0.026241526
500,600,3.897559973,0.018608312
600,700,3.92106405,0.014998696
700,800,4.096060342,0.020765344
800,900,3.909042498,0.024282553
900,1000,3.901097229,0.012815938
